Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-04-10,Deutschland,00,172395880,63713540,63238599,49054067,76.6,42.0,21.9,65.5,85.9,79.5,88.9,76.0,39.3,19.0,63.0,85.6,83.9,88.8,59.0,30.1,68.5,62.9,79.2
2022-04-10,Schleswig-Holstein,01,6664331,2343759,2352278,2102075,80.5,54.5,30.1,81.7,90.2,84.9,91.4,80.8,51.7,28.6,77.5,90.9,89.8,92.9,72.2,43.1,78.3,71.8,89.9
2022-04-10,Hamburg,02,4092396,1541056,1540333,1119478,83.2,45.1,27.5,67.3,93.8,89.7,91.2,83.1,41.9,23.0,65.7,94.2,95.3,91.5,60.4,27.8,71.0,67.5,79.8
2022-04-10,Niedersachsen,03,17166251,6284086,6221548,5093449,78.5,47.4,26.6,70.8,87.5,79.0,91.5,77.7,44.2,23.1,67.9,87.0,84.9,90.8,63.6,38.5,73.8,69.0,82.5
2022-04-10,Bremen,04,1616357,614836,607239,442528,90.4,43.7,22.3,69.0,102.2,100.7,97.2,89.3,41.0,19.1,66.8,101.3,103.6,96.5,65.1,26.7,76.2,70.7,87.4
2022-04-10,Nordrhein-Westfalen,05,38838142,14429978,14163463,11054914,80.5,47.8,27.4,71.0,89.9,83.2,92.1,79.0,44.3,23.3,68.2,88.6,87.2,91.3,61.7,33.8,71.9,66.4,82.5
2022-04-10,Hessen,06,12860236,4835146,4700198,3576845,76.8,42.9,23.2,65.7,86.2,80.6,88.9,74.7,38.9,19.7,61.2,84.2,82.8,87.0,56.8,30.3,66.3,61.6,75.9
2022-04-10,Rheinland-Pfalz,07,8520064,3181465,3083699,2422249,77.6,43.7,23.3,67.4,86.7,79.1,91.3,75.2,40.8,20.8,64.0,84.3,81.8,88.8,59.1,32.8,68.5,63.2,78.2
2022-04-10,Baden-Württemberg,08,22336741,8218981,8244654,6354788,74.0,39.2,19.1,62.0,83.4,77.3,87.7,74.3,36.8,16.5,59.8,84.1,82.5,87.4,57.2,30.2,66.9,62.2,76.5
2022-04-10,Bayern,09,26468112,9731781,9833674,7407577,74.1,41.9,21.0,66.4,82.9,77.3,86.7,74.8,40.0,18.7,64.9,84.1,82.8,86.8,56.4,26.7,65.8,60.0,77.6
2022-04-10,Saarland,10,2223779,811817,810090,651403,82.5,42.5,18.4,69.7,91.6,84.7,92.4,82.3,39.9,16.2,66.7,91.7,91.0,92.8,66.2,34.6,75.7,70.5,84.2
2022-04-10,Berlin,11,7741637,2847729,2826922,2197364,77.7,42.5,25.4,65.0,87.4,80.8,91.6,77.2,40.2,22.8,63.1,87.0,84.9,92.0,60.0,30.1,70.2,64.3,83.9
2022-04-10,Brandenburg,12,4711325,1758015,1748852,1317330,69.5,29.2,10.6,52.0,78.2,68.5,82.2,69.1,27.1,8.6,49.8,78.4,74.4,84.4,52.0,19.3,60.7,53.1,72.2
2022-04-10,Mecklenburg-Vorpommern,13,3253264,1198441,1200159,920600,74.4,31.0,10.4,56.2,83.7,76.3,87.5,74.5,28.1,7.8,53.0,84.2,81.1,88.8,57.2,21.1,66.2,57.2,79.4
2022-04-10,Sachsen,14,7134007,2654344,2620660,1960519,65.4,23.6,7.5,44.0,74.5,66.6,81.1,64.6,22.4,6.4,42.7,73.8,67.7,82.8,48.3,15.1,56.6,47.1,70.6
2022-04-10,Sachsen-Anhalt,15,4249907,1570458,1598245,1189185,72.0,27.7,8.4,51.1,81.0,72.2,84.7,73.3,25.8,7.0,48.7,82.8,78.7,88.5,54.5,17.5,63.0,52.6,77.6
2022-04-10,Thüringen,16,3987923,1489593,1491558,1101296,70.3,29.0,11.2,51.0,79.1,71.0,84.4,70.3,28.2,10.4,50.3,79.3,74.5,86.2,51.9,18.9,60.2,50.2,74.4
2022-04-10,Bundesressorts,17,531408,202055,195027,142467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
