Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2024-01-01,Deutschland,00,196442070,64943056,3104,63577263,2023,52204929,13420760,3827212,727167,78.0,46.1,22.4,74.5,87.0,84.8,91.1,76.4,42.9,20.0,69.6,85.5,83.0,90.1,62.7,31.7,73.1,66.4,85.5,16.1,1.1,19.3,7.3,41.3
2024-01-01,Schleswig-Holstein,01,7785224,2357474,532,2327523,478,2061577,774663,286347,49863,80.7,60.6,30.8,94.3,87.8,85.1,92.3,79.7,57.6,29.8,88.7,87.0,84.4,91.4,70.6,48.7,80.9,74.9,91.3,26.5,1.8,31.6,12.2,64.9
2024-01-01,Hamburg,02,4800239,1608706,54,1566042,30,1246124,317931,106927,17098,86.8,52.4,29.8,80.1,97.2,96.7,98.2,84.5,47.0,24.3,75.4,95.2,94.1,97.8,67.2,29.5,79.1,73.4,93.1,17.1,1.5,20.5,9.2,48.7
2024-01-01,Niedersachsen,03,19940951,6411837,222,6230915,141,5394384,1614246,503509,64777,79.9,52.7,27.0,81.8,88.4,85.6,93.4,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.2,40.0,78.0,72.2,88.5,20.1,1.4,24.1,8.7,51.5
2024-01-01,Bremen,04,1864898,622477,7,597467,NA,457486,153410,43702,5680,92.0,48.6,23.0,78.6,103.7,105.9,99.3,88.3,43.9,19.6,72.7,99.9,100.7,98.4,67.6,29.0,79.4,73.1,91.9,22.7,0.9,27.2,12.6,56.3
2024-01-01,Nordrhein-Westfalen,05,45109887,14672893,792,14252812,447,11854301,3459362,1036700,359495,81.9,51.2,28.1,81.2,91.1,89.9,93.4,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.1,36.2,77.2,71.0,88.7,19.3,1.3,23.1,8.9,50.1
2024-01-01,Hessen,06,14750612,4972812,174,4773242,53,3858173,997234,272357,39206,79.0,48.5,24.1,76.0,88.1,86.3,91.6,75.8,43.3,21.0,68.7,85.0,82.9,89.2,61.3,31.6,71.7,65.2,84.2,15.8,1.2,19.0,7.8,40.9
2024-01-01,Rheinland-Pfalz,07,9790917,3249316,70,3107495,36,2620490,707100,198949,25914,79.1,48.3,23.7,76.7,88.0,84.8,93.6,75.7,44.2,21.5,70.7,84.4,81.3,89.8,63.8,34.1,74.2,67.7,85.5,17.2,1.2,20.5,7.2,44.0
2024-01-01,Baden-Württemberg,08,25199530,8435752,384,8295841,283,6844927,1452423,390184,48177,75.8,43.9,19.6,71.4,85.0,82.7,89.7,74.6,40.6,17.3,67.0,84.0,81.5,89.0,61.5,31.0,72.1,65.7,84.6,13.1,1.1,15.7,5.8,35.1
2024-01-01,Bayern,09,29563397,9920650,500,9903126,334,7817965,1708513,450084,53428,75.3,45.9,21.2,74.9,83.9,81.7,88.2,75.2,43.1,19.5,70.7,84.1,82.1,88.2,59.3,28.0,69.4,62.4,83.3,13.0,0.9,15.5,5.5,35.2
2024-01-01,Saarland,10,2497207,823785,13,809266,12,683713,172294,38266,3507,83.9,46.8,18.8,78.9,92.8,91.8,94.2,82.4,43.7,17.0,73.9,91.4,89.9,93.7,69.6,34.5,79.8,73.7,89.4,17.5,1.0,20.6,7.1,41.7
2024-01-01,Berlin,11,8934417,2906751,240,2871363,135,2363622,652123,210115,34140,79.0,45.5,26.2,71.1,88.6,84.6,97.7,78.1,42.7,24.2,66.8,87.9,83.7,97.6,64.3,31.0,75.3,68.4,91.4,17.7,1.4,21.2,9.4,48.4
2024-01-01,Brandenburg,12,5170184,1724946,22,1728259,12,1418430,313867,72951,6516,68.0,32.9,11.0,59.2,76.3,73.2,80.9,68.1,29.7,9.3,54.3,76.9,72.8,83.0,55.9,20.5,65.3,55.3,80.0,12.4,0.8,14.7,5.1,28.7
2024-01-01,Mecklenburg-Vorpommern,13,3626371,1220201,18,1204359,NA,970943,224360,44281,3632,75.7,34.1,10.7,62.2,84.9,81.0,90.3,74.8,30.9,8.8,57.3,84.2,79.8,90.3,60.3,22.2,69.9,59.9,83.8,13.9,1.0,16.4,4.9,32.6
2024-01-01,Sachsen,14,7775586,2681754,39,2630329,26,2050957,389795,85391,9994,66.3,25.1,7.7,46.9,75.5,68.8,85.2,65.1,23.6,7.0,44.3,74.2,67.5,84.0,50.7,15.3,59.5,48.9,75.0,9.6,0.7,11.4,3.7,22.8
2024-01-01,Sachsen-Anhalt,15,4760953,1622247,22,1607367,27,1270515,273223,54454,3001,74.8,31.0,8.8,57.5,84.0,78.9,90.9,74.1,28.6,7.8,53.2,83.5,78.1,90.8,58.6,18.5,67.8,56.3,83.5,12.6,0.9,14.8,4.1,29.3
2024-01-01,Thüringen,16,4322221,1509278,10,1481681,NA,1145077,200235,32227,2610,71.6,30.6,11.5,54.3,80.5,75.2,87.7,70.3,29.3,10.8,52.3,79.1,72.9,87.7,54.3,19.7,63.0,52.2,78.1,9.5,0.5,11.2,3.7,21.7
2024-01-01,Bundesressorts,17,549476,202177,5,190176,NA,146245,9981,768,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
