Impfdatum,BundeslandId_Impfort,Impfstoff,Impfserie,Anzahl
2020-12-27,01,Comirnaty,1,808
2020-12-27,02,Comirnaty,1,443
2020-12-27,03,Comirnaty,1,373
2020-12-27,04,Comirnaty,1,511
2020-12-27,04,Moderna,1,3
2020-12-27,05,Comirnaty,1,8723
2020-12-27,05,Comirnaty,2,9
2020-12-27,06,Comirnaty,1,2709
2020-12-27,07,Comirnaty,1,1252
2020-12-27,08,Comirnaty,1,2609
2020-12-27,08,Moderna,1,3
2020-12-27,09,Comirnaty,1,3606
2020-12-27,10,Comirnaty,1,215
2020-12-27,11,Comirnaty,1,1770
2020-12-27,12,Comirnaty,1,28
2020-12-27,13,Comirnaty,1,350
2020-12-27,14,Comirnaty,1,180
2020-12-27,15,Comirnaty,1,653
2020-12-27,16,Comirnaty,1,103
2020-12-28,01,Comirnaty,1,876
2020-12-28,02,Comirnaty,1,634
2020-12-28,03,Comirnaty,1,509
2020-12-28,04,Comirnaty,1,244
2020-12-28,05,Comirnaty,1,1004
2020-12-28,06,Comirnaty,1,1375
2020-12-28,06,Comirnaty,2,18
2020-12-28,07,Comirnaty,1,214
2020-12-28,08,Comirnaty,1,3025
2020-12-28,09,Comirnaty,1,2162
2020-12-28,10,Comirnaty,1,654
2020-12-28,11,Comirnaty,1,2166
2020-12-28,12,Comirnaty,1,115
2020-12-28,13,Comirnaty,1,2716
2020-12-28,14,Comirnaty,1,572
2020-12-28,14,Comirnaty,2,47
2020-12-28,15,Comirnaty,1,1604
2020-12-28,16,Comirnaty,1,168
2020-12-29,01,Comirnaty,1,2316
2020-12-29,02,Comirnaty,1,497
2020-12-29,03,Comirnaty,1,785
2020-12-29,04,Comirnaty,1,510
2020-12-29,05,Comirnaty,1,13107
2020-12-29,05,Comirnaty,2,618
2020-12-29,05,Comirnaty,3,1
2020-12-29,06,Comirnaty,1,6514
2020-12-29,06,Comirnaty,2,7
2020-12-29,07,Comirnaty,1,1149
2020-12-29,08,Comirnaty,1,4083
2020-12-29,09,Comirnaty,1,8769
