Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2023-03-03,Deutschland,00,192128576,64872755,2617,63558958,1553,52130590,12610808,1133421,115586,77.9,46.1,22.4,74.5,86.9,84.8,90.9,76.4,42.8,20.0,69.6,85.5,83.0,90.1,62.6,31.6,73.0,66.4,85.3,15.2,1.0,18.1,6.8,38.9
2023-03-03,Schleswig-Holstein,01,7510555,2356774,525,2327214,464,2058163,732561,107040,1288,80.7,60.6,30.7,94.3,87.8,85.1,92.3,79.6,57.6,29.8,88.7,87.0,84.4,91.4,70.4,48.6,80.8,74.8,91.1,25.1,1.7,29.8,11.3,61.8
2023-03-03,Hamburg,02,4693704,1607194,49,1565832,22,1244313,299175,37935,1914,86.7,52.4,29.7,80.1,97.1,96.7,98.0,84.5,47.0,24.3,75.4,95.2,94.1,97.8,67.1,29.5,79.0,73.3,92.9,16.1,1.4,19.3,8.6,46.0
2023-03-03,Niedersachsen,03,19422261,6405269,163,6229802,106,5387342,1524402,150870,3761,79.8,52.7,27.0,81.8,88.3,85.6,93.2,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.1,40.0,77.9,72.1,88.4,19.0,1.3,22.7,8.2,48.8
2023-03-03,Bremen,04,1825411,621562,5,597362,NA,457020,147131,17581,147,91.9,48.6,23.0,78.6,103.6,105.9,98.9,88.3,43.9,19.6,72.7,99.9,100.7,98.4,67.6,29.0,79.3,73.1,91.7,21.8,0.8,26.1,12.2,53.9
2023-03-03,Nordrhein-Westfalen,05,43862381,14660009,659,14249280,359,11835120,3276692,316070,83725,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.0,36.2,77.0,71.0,88.5,18.3,1.2,21.9,8.3,47.6
2023-03-03,Hessen,06,14490726,4968091,145,4772501,43,3854059,948939,106386,3458,78.9,48.4,24.1,76.0,88.0,86.2,91.4,75.8,43.2,21.0,68.7,85.0,82.9,89.2,61.2,31.5,71.6,65.2,84.1,15.1,1.1,18.1,7.4,38.9
2023-03-03,Rheinland-Pfalz,07,9563443,3242609,46,3104735,22,2616426,664138,51973,2068,79.0,48.2,23.6,76.7,87.8,84.7,93.2,75.6,44.2,21.5,70.6,84.3,81.3,89.8,63.7,34.0,74.1,67.7,85.3,16.2,1.1,19.3,6.7,41.4
2023-03-03,Baden-Württemberg,08,24743436,8421811,345,8291653,176,6834435,1349674,107130,6822,75.7,43.9,19.6,71.4,84.9,82.6,89.4,74.5,40.6,17.3,67.0,84.0,81.5,88.9,61.4,31.0,72.0,65.7,84.4,12.1,1.0,14.5,5.4,32.6
2023-03-03,Bayern,09,29022485,9910916,411,9900370,219,7807335,1579370,110159,4993,75.2,45.9,21.2,74.9,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.1,88.2,59.2,28.0,69.3,62.3,83.1,12.0,0.8,14.3,5.1,32.6
